2   9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
11	36
12	39
13	42
14	45
15	48
16	51
17	54
18	57
19	60
20	63
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
11	36
12	39
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
2	9
3	12
4	16
5	18
6	21
7	24
8	27
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
11	36
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
11	36
2	10
3	13
4	17
5	19
6	22
7	25
8	28
9	31
10	34
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
4	16
8	27
2	9
3	12
4	16
5	18
6	21
7	24
8	27
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
11	36
12	39
13	42
14	45
15	48
2	9
3	12
4	16
5	18
6	21
7	24
8	27
9	30
10	33
11	36
8	27
8	27
